epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,309.459,1.86242,1.89225,1.55174,0.83953,0.71259,0.80983,0.34974,2.00761,inf,1.42365,0.0033277,0.0033277,0.0033277
2,609.128,1.17171,0.81842,1.11964,0.8851,0.82076,0.89535,0.47896,1.65335,inf,1.23036,0.00660608,0.00660608,0.00660608
3,914.733,1.07133,0.66813,1.04631,0.81572,0.78789,0.88587,0.45444,1.78187,inf,1.28468,0.00982946,0.00982946,0.00982946
4,1209.36,0.99359,0.58667,1.01461,0.85684,0.79313,0.88812,0.40325,2.00335,inf,1.40152,0.0097525,0.0097525,0.0097525
5,1506.01,0.93149,0.53814,0.99351,0.73129,0.79528,0.7849,0.45343,1.51764,inf,1.24356,0.00967,0.00967,0.00967
6,1804.75,0.89958,0.51374,0.98327,0.88156,0.88508,0.93824,0.45976,1.8877,inf,1.39032,0.0095875,0.0095875,0.0095875
7,2094,0.87978,0.49716,0.97652,0.93253,0.92213,0.9692,0.59727,1.40944,0.57723,1.1929,0.009505,0.009505,0.009505
8,2383.13,0.86453,0.48858,0.97234,0.80038,0.85471,0.84627,0.5345,1.32334,inf,1.16827,0.0094225,0.0094225,0.0094225
9,2672.42,0.85212,0.47881,0.96848,0.93377,0.94212,0.97862,0.61881,1.40955,0.55176,1.16185,0.00934,0.00934,0.00934
10,2958.82,0.84333,0.47368,0.96554,0.91556,0.91134,0.96523,0.54293,1.66917,inf,1.30143,0.0092575,0.0092575,0.0092575
11,3245.52,0.83757,0.468,0.96351,0.94757,0.94716,0.98206,0.64406,1.31598,0.51659,1.13589,0.009175,0.009175,0.009175
12,3531.73,0.83087,0.46317,0.96135,0.91391,0.90178,0.95311,0.49573,1.7854,0.67052,1.38976,0.0090925,0.0090925,0.0090925
13,3813.73,0.82355,0.45926,0.95928,0.94574,0.9523,0.98287,0.63921,1.36444,0.51292,1.14654,0.00901,0.00901,0.00901
14,4099.2,0.81886,0.45675,0.95791,0.94064,0.94884,0.9803,0.65179,1.28736,0.55131,1.13675,0.0089275,0.0089275,0.0089275
15,4383.7,0.81327,0.45283,0.95626,0.93026,0.95063,0.9791,0.65402,1.27187,0.54563,1.1341,0.008845,0.008845,0.008845
16,4667.6,0.81027,0.44904,0.95525,0.93922,0.95123,0.97995,0.66918,1.23274,0.49627,1.11443,0.0087625,0.0087625,0.0087625
17,4951.67,0.80603,0.44821,0.95391,0.94244,0.95009,0.98164,0.67973,1.21113,0.48661,1.10724,0.00868,0.00868,0.00868
18,5237.26,0.80257,0.44564,0.95314,0.9466,0.95446,0.98334,0.69822,1.152,0.47106,1.08024,0.0085975,0.0085975,0.0085975
19,5520.55,0.79827,0.44259,0.9516,0.94623,0.95595,0.98332,0.68118,1.21542,0.48031,1.10749,0.008515,0.008515,0.008515
20,5804.34,0.79654,0.44013,0.95054,0.94745,0.95684,0.9846,0.689,1.19229,0.46945,1.09631,0.0084325,0.0084325,0.0084325
21,6088.38,0.79282,0.43971,0.94997,0.95071,0.95641,0.98468,0.69449,1.1727,0.46492,1.08734,0.00835,0.00835,0.00835
22,6372.63,0.79007,0.43699,0.94894,0.94894,0.95674,0.98434,0.69781,1.15955,0.46242,1.08329,0.0082675,0.0082675,0.0082675
23,6657.01,0.78652,0.43431,0.948,0.94788,0.95666,0.98409,0.69081,1.18218,0.46694,1.09368,0.008185,0.008185,0.008185
24,6942.63,0.78454,0.43294,0.94783,0.94983,0.95785,0.9846,0.69659,1.16451,0.46182,1.08818,0.0081025,0.0081025,0.0081025
25,7224.59,0.78205,0.43084,0.94691,0.94948,0.95789,0.9848,0.69049,1.18706,0.46341,1.09782,0.00802,0.00802,0.00802
26,7508.77,0.77943,0.43008,0.9462,0.94911,0.95727,0.98445,0.68419,1.20976,0.47203,1.10762,0.0079375,0.0079375,0.0079375
27,7792.76,0.77805,0.42859,0.94566,0.94903,0.9585,0.98505,0.69094,1.18777,0.46439,1.09721,0.007855,0.007855,0.007855
28,8076.87,0.77481,0.42849,0.94513,0.9502,0.95688,0.98475,0.68546,1.20804,0.46753,1.10682,0.0077725,0.0077725,0.0077725
29,8361,0.77229,0.42645,0.94419,0.95019,0.95717,0.9849,0.68589,1.20796,0.4664,1.10609,0.00769,0.00769,0.00769
30,8644.89,0.76965,0.42292,0.94304,0.94953,0.95841,0.98512,0.68957,1.19613,0.46285,1.1002,0.0076075,0.0076075,0.0076075
31,8928.82,0.76752,0.42149,0.94254,0.94989,0.95851,0.98525,0.6892,1.19797,0.46227,1.10097,0.007525,0.007525,0.007525
32,9213.5,0.76529,0.42093,0.94151,0.95011,0.95878,0.98539,0.68997,1.19639,0.4612,1.09997,0.0074425,0.0074425,0.0074425
33,9496.56,0.76389,0.41842,0.94196,0.95079,0.9588,0.9856,0.69131,1.19329,0.45892,1.09777,0.00736,0.00736,0.00736
34,9780.58,0.76075,0.41814,0.94026,0.95083,0.95885,0.98568,0.69283,1.18792,0.45774,1.09523,0.0072775,0.0072775,0.0072775
35,10064.1,0.75878,0.41532,0.93945,0.95096,0.95871,0.98573,0.69417,1.18353,0.45684,1.09299,0.007195,0.007195,0.007195
36,10347.7,0.75781,0.41496,0.9393,0.95074,0.95834,0.98567,0.69398,1.18405,0.45705,1.09315,0.0071125,0.0071125,0.0071125
37,10632.8,0.75533,0.41486,0.93924,0.95058,0.95798,0.98556,0.69317,1.18693,0.4576,1.09416,0.00703,0.00703,0.00703
38,10917.3,0.75392,0.41338,0.93826,0.94996,0.95669,0.98517,0.68902,1.20074,0.46082,1.09975,0.0069475,0.0069475,0.0069475
39,11197.6,0.7497,0.4113,0.93688,0.94963,0.95578,0.98499,0.68679,1.20808,0.46245,1.10276,0.006865,0.006865,0.006865
40,11481.3,0.74941,0.40981,0.93687,0.94907,0.95591,0.98493,0.68728,1.20649,0.46184,1.10185,0.0067825,0.0067825,0.0067825
41,11765.1,0.74623,0.4089,0.93625,0.94922,0.95556,0.98498,0.68941,1.19911,0.46018,1.0982,0.0067,0.0067,0.0067
42,12048.3,0.74263,0.40735,0.9349,0.94871,0.95527,0.98492,0.69019,1.19622,0.45951,1.09659,0.0066175,0.0066175,0.0066175
43,12331.5,0.74293,0.40649,0.93465,0.94939,0.9542,0.98487,0.69154,1.19134,0.45862,1.09419,0.006535,0.006535,0.006535
44,12615,0.74054,0.40539,0.93404,0.94993,0.95293,0.9848,0.69244,1.18845,0.45782,1.09272,0.0064525,0.0064525,0.0064525
45,12896.5,0.73727,0.40464,0.9331,0.95034,0.95201,0.98471,0.69337,1.18506,0.45735,1.09127,0.00637,0.00637,0.00637
46,13181.3,0.73558,0.40223,0.93233,0.95056,0.95091,0.9845,0.69347,1.18481,0.45764,1.09087,0.0062875,0.0062875,0.0062875
47,13466.5,0.73348,0.40212,0.93209,0.95103,0.95009,0.9844,0.69344,1.18531,0.45777,1.0906,0.006205,0.006205,0.006205
48,13749.8,0.73278,0.40088,0.93145,0.95123,0.94923,0.98427,0.69454,1.18142,0.45728,1.08861,0.0061225,0.0061225,0.0061225
49,14033.8,0.7307,0.40022,0.9309,0.95108,0.94792,0.98393,0.69432,1.18168,0.45797,1.08839,0.00604,0.00604,0.00604
50,293.024,0.72769,0.39903,0.93018,0.95128,0.94909,0.98414,0.69372,1.18481,0.45735,1.08977,0.0059575,0.0059575,0.0059575
51,579.173,0.73204,0.40166,0.93126,0.95135,0.94983,0.98431,0.69353,1.18654,0.45651,1.09061,0.005875,0.005875,0.005875
52,868.646,0.72943,0.4,0.93057,0.95142,0.95051,0.98444,0.69277,1.19046,0.45616,1.09204,0.0057925,0.0057925,0.0057925
53,1153.27,0.72698,0.39796,0.9296,0.95148,0.95069,0.98446,0.6916,1.19499,0.4565,1.09392,0.00571,0.00571,0.00571
54,1440.81,0.72407,0.39797,0.92855,0.95141,0.95118,0.98457,0.69202,1.19456,0.45569,1.09335,0.0056275,0.0056275,0.0056275
55,1726.45,0.72284,0.39573,0.92856,0.95159,0.9511,0.98455,0.69195,1.19536,0.45542,1.09396,0.005545,0.005545,0.005545
56,2015.69,0.7206,0.39411,0.92785,0.95173,0.95069,0.98446,0.6896,1.2037,0.4567,1.09741,0.0054625,0.0054625,0.0054625
57,2301.24,0.71864,0.39437,0.92697,0.95148,0.95058,0.98443,0.69005,1.20298,0.45635,1.09685,0.00538,0.00538,0.00538
58,2590.01,0.71459,0.39236,0.92592,0.95138,0.9507,0.98442,0.68998,1.2032,0.45609,1.09651,0.0052975,0.0052975,0.0052975
59,2876.86,0.71421,0.39062,0.92494,0.95159,0.95089,0.98443,0.69034,1.2023,0.45546,1.09594,0.005215,0.005215,0.005215
60,3165.63,0.71161,0.39127,0.92437,0.95139,0.95128,0.98446,0.69075,1.20141,0.45501,1.09511,0.0051325,0.0051325,0.0051325
61,3452.2,0.71064,0.38879,0.92409,0.95128,0.95092,0.98434,0.68957,1.20547,0.45567,1.0966,0.00505,0.00505,0.00505
62,3741.93,0.70755,0.38723,0.92325,0.95115,0.95117,0.98435,0.69118,1.2007,0.45447,1.09416,0.0049675,0.0049675,0.0049675
63,4027.7,0.70483,0.38638,0.9221,0.95123,0.95103,0.98428,0.69072,1.2024,0.4548,1.0948,0.004885,0.004885,0.004885
64,4317.02,0.70161,0.38435,0.92093,0.95134,0.95081,0.98428,0.69151,1.19976,0.45425,1.09326,0.0048025,0.0048025,0.0048025
65,4603.81,0.70049,0.3846,0.92053,0.95143,0.95035,0.98421,0.69078,1.20316,0.45467,1.09424,0.00472,0.00472,0.00472
66,4893.01,0.698,0.38263,0.91965,0.95139,0.95023,0.98421,0.69198,1.19934,0.45393,1.09211,0.0046375,0.0046375,0.0046375
67,5181.15,0.69508,0.38094,0.91894,0.95125,0.95025,0.98421,0.69297,1.19598,0.45325,1.09035,0.004555,0.004555,0.004555
68,5470.64,0.69353,0.3788,0.9185,0.95138,0.94994,0.98421,0.69485,1.19017,0.4522,1.08782,0.0044725,0.0044725,0.0044725
69,5757.25,0.69039,0.37703,0.91721,0.95115,0.94978,0.98411,0.69477,1.19009,0.45232,1.08769,0.00439,0.00439,0.00439
70,6044.77,0.68778,0.37671,0.91665,0.95111,0.94933,0.98399,0.69475,1.19071,0.45264,1.0877,0.0043075,0.0043075,0.0043075
71,6334.98,0.68523,0.37436,0.91534,0.95112,0.9489,0.98395,0.69697,1.18327,0.45155,1.08435,0.004225,0.004225,0.004225
72,6625.03,0.68357,0.37514,0.9151,0.95097,0.94863,0.98384,0.69798,1.17994,0.45113,1.08269,0.0041425,0.0041425,0.0041425
73,6911.53,0.68151,0.37376,0.91476,0.95121,0.94759,0.98369,0.69891,1.17717,0.45103,1.08128,0.00406,0.00406,0.00406
74,7201.07,0.67821,0.37128,0.91322,0.9516,0.94648,0.98348,0.70018,1.17316,0.45071,1.07941,0.0039775,0.0039775,0.0039775
75,7488.47,0.67619,0.37065,0.91253,0.95186,0.94569,0.98343,0.70181,1.16764,0.44991,1.07689,0.003895,0.003895,0.003895
76,7778.74,0.6742,0.36745,0.91179,0.95208,0.94493,0.98334,0.70229,1.16635,0.44981,1.07614,0.0038125,0.0038125,0.0038125
77,8065.36,0.66987,0.36748,0.91012,0.95205,0.94438,0.98319,0.70203,1.16741,0.45044,1.0763,0.00373,0.00373,0.00373
78,8353.66,0.66806,0.36472,0.90988,0.95254,0.94393,0.98316,0.70441,1.1591,0.44904,1.0726,0.0036475,0.0036475,0.0036475
79,8640.92,0.66426,0.36424,0.90799,0.95266,0.94351,0.98307,0.70648,1.15236,0.44827,1.06953,0.003565,0.003565,0.003565
80,8929.76,0.66231,0.36158,0.90726,0.95302,0.94278,0.98291,0.70699,1.15082,0.44843,1.06882,0.0034825,0.0034825,0.0034825
81,9216.14,0.6592,0.36043,0.90632,0.95285,0.94242,0.98274,0.70749,1.15001,0.44885,1.06811,0.0034,0.0034,0.0034
82,9509.26,0.65683,0.35882,0.90612,0.95292,0.94138,0.98244,0.70646,1.15362,0.45021,1.06911,0.0033175,0.0033175,0.0033175
83,9795.55,0.65292,0.35653,0.90404,0.95284,0.94071,0.98219,0.70589,1.15552,0.45115,1.06962,0.003235,0.003235,0.003235
84,10084.6,0.64989,0.35484,0.90331,0.95243,0.94063,0.98204,0.70645,1.15406,0.45124,1.06891,0.0031525,0.0031525,0.0031525
85,10371.6,0.647,0.35382,0.90248,0.95301,0.93973,0.98191,0.70706,1.15212,0.4514,1.06793,0.00307,0.00307,0.00307
86,10660.8,0.64501,0.35231,0.90189,0.95278,0.93909,0.98158,0.70686,1.15253,0.45205,1.06771,0.0029875,0.0029875,0.0029875
87,10947.3,0.64098,0.35009,0.90059,0.95267,0.93847,0.98131,0.70686,1.15255,0.45275,1.06744,0.002905,0.002905,0.002905
88,11235.6,0.63779,0.34813,0.89956,0.95259,0.93767,0.98102,0.70736,1.15069,0.45297,1.06631,0.0028225,0.0028225,0.0028225
89,11522.5,0.63487,0.34602,0.89832,0.95297,0.93681,0.98079,0.70792,1.14874,0.45316,1.06501,0.00274,0.00274,0.00274
90,11811.3,0.63108,0.34436,0.89745,0.95291,0.93587,0.98045,0.70706,1.15157,0.45417,1.0657,0.0026575,0.0026575,0.0026575
91,12098,0.62749,0.34198,0.89642,0.95308,0.93484,0.9801,0.70718,1.15045,0.45474,1.06483,0.002575,0.002575,0.002575
92,12386.9,0.62588,0.34065,0.89575,0.95309,0.93397,0.97981,0.70725,1.14967,0.4553,1.0641,0.0024925,0.0024925,0.0024925
93,12672.3,0.62172,0.33863,0.89425,0.95345,0.93288,0.97953,0.70693,1.15021,0.45602,1.06375,0.00241,0.00241,0.00241
94,12961.2,0.61779,0.337,0.89307,0.9536,0.93177,0.97922,0.70536,1.15483,0.45769,1.06508,0.0023275,0.0023275,0.0023275
95,13247.6,0.6151,0.33417,0.8922,0.95359,0.93046,0.97877,0.70315,1.16202,0.4599,1.06737,0.002245,0.002245,0.002245
96,13536.3,0.61085,0.3328,0.89103,0.9539,0.92924,0.97842,0.70228,1.16402,0.46125,1.06768,0.0021625,0.0021625,0.0021625
97,13822.9,0.60754,0.33075,0.88975,0.95397,0.92849,0.97811,0.70156,1.16568,0.46246,1.06777,0.00208,0.00208,0.00208
98,14109.1,0.60314,0.3279,0.88836,0.95332,0.92804,0.97764,0.7007,1.16806,0.46431,1.06829,0.0019975,0.0019975,0.0019975
99,14398.4,0.59905,0.32582,0.88735,0.95332,0.92676,0.97712,0.69956,1.17177,0.46651,1.0694,0.001915,0.001915,0.001915
100,14689.2,0.59513,0.32335,0.88659,0.95329,0.92564,0.97654,0.69876,1.17372,0.46845,1.06974,0.0018325,0.0018325,0.0018325
101,14975.2,0.59164,0.32089,0.88545,0.95338,0.9247,0.97612,0.69787,1.17643,0.47013,1.07047,0.00175,0.00175,0.00175
102,15264.9,0.58723,0.31846,0.88365,0.95315,0.92414,0.9758,0.69779,1.17649,0.4716,1.07017,0.0016675,0.0016675,0.0016675
103,15552.1,0.58257,0.31598,0.88251,0.95369,0.92275,0.97532,0.69771,1.1761,0.47348,1.06953,0.001585,0.001585,0.001585
104,15840.6,0.57706,0.31314,0.88076,0.95341,0.92188,0.97462,0.69736,1.17605,0.47603,1.0692,0.0015025,0.0015025,0.0015025
105,16127,0.57245,0.31068,0.87976,0.95292,0.92049,0.97374,0.69605,1.17858,0.47937,1.06987,0.00142,0.00142,0.00142
106,16416.2,0.5682,0.3079,0.87829,0.95268,0.91887,0.97287,0.69496,1.18073,0.4825,1.07051,0.0013375,0.0013375,0.0013375
107,16702.7,0.56353,0.30556,0.87701,0.95169,0.9177,0.97191,0.69403,1.18206,0.48574,1.07074,0.001255,0.001255,0.001255
108,16991.8,0.55822,0.30224,0.87578,0.95194,0.91582,0.97099,0.69301,1.18403,0.48925,1.0712,0.0011725,0.0011725,0.0011725
109,17279.2,0.55303,0.29944,0.87448,0.95126,0.91436,0.96994,0.69131,1.18735,0.49299,1.07235,0.00109,0.00109,0.00109
110,17569.3,0.54668,0.2958,0.87228,0.95063,0.91259,0.96872,0.68973,1.18946,0.49776,1.07329,0.0010075,0.0010075,0.0010075
111,17865.6,0.54138,0.29301,0.87139,0.95035,0.91051,0.9675,0.68896,1.18863,0.50238,1.07317,0.000925,0.000925,0.000925
112,18154.2,0.53468,0.28942,0.86957,0.94994,0.9072,0.96585,0.68697,1.19137,0.50898,1.07434,0.0008425,0.0008425,0.0008425
113,18440.9,0.52891,0.28637,0.86821,0.94942,0.90457,0.96417,0.68477,1.19426,0.51555,1.07568,0.00076,0.00076,0.00076
114,18728.1,0.52227,0.28277,0.86616,0.949,0.90101,0.9621,0.68184,1.1994,0.52369,1.07805,0.0006775,0.0006775,0.0006775
115,19013.7,0.51542,0.27911,0.86434,0.94808,0.8972,0.95988,0.67812,1.20689,0.53338,1.0816,0.000595,0.000595,0.000595
116,19302.7,0.50806,0.27547,0.86234,0.94675,0.89341,0.95741,0.67422,1.21459,0.54383,1.08513,0.0005125,0.0005125,0.0005125
117,19589.5,0.50106,0.27147,0.86073,0.9452,0.8884,0.95431,0.66954,1.22341,0.55758,1.08939,0.00043,0.00043,0.00043
118,19877,0.49389,0.26778,0.85898,0.94233,0.88296,0.9509,0.6641,1.23242,0.57209,1.09406,0.0003475,0.0003475,0.0003475
119,20163.7,0.48634,0.26391,0.85701,0.93887,0.87664,0.9471,0.65785,1.24402,0.5882,1.09973,0.000265,0.000265,0.000265
120,20452.6,0.47881,0.26026,0.85493,0.93346,0.86984,0.94223,0.65033,1.25613,0.60731,1.10606,0.0001825,0.0001825,0.0001825
